,Instrument,CF_DATE,CF_TIME,CF_CLOSE,CF_CURR,CF_VOLUME,CF_YIELD,CF_HIGH,CF_LOW,Company Common Name,TRBC Economic Sector Name,Price 52 Week High,Price 52 Week Low,Total Return,52 Week Total Return,YTD Total Return,Total Revenue,EBITDA,Total Current Assets,Total Current Liabilities,Total Debt,Total Liabilities,Total Equity
0,IMI.CN,2020-05-27,19:48:16,11440,COP,18775,,11200,11000,Almacenes Exito SA,Consumer Non-Cyclicals,17980,10920,0.704225352,-1.01896863819203,-2.04714481399823,15293083000000.0,2162047000000.0,5356665000000.0,5906214000000.0,1811046000000,8664487000000,7196528000000
1,AVT_p.CN,2020-05-27,19:59:41,86,COP,8738322,,140,110,Avianca Holdings SA,Industrials,2120,30,186.666666666667,-94.8577580565937,-95.3133514985552,4614975000.0,628141000.0,1711276000.0,2732150000.0,4856323000,7066577000,207333000
2,BBO.CN,2020-05-27,19:50:17,59640,COP,3410,,59640,59000,Banco de Bogota SA,Financials,90000,58000,0.36144578313253,-4.10020881360242,-28.3391246302216,,5830434000000.0,,,29359126000000,154431266000000,20588314000000
3,DVI_p.CN,2020-05-27,19:59:41,24020,COP,191013,,25500,24100,Banco Davivienda SA,Financials,47440,22040,-3.84307445956765,-33.6489186980051,-46.7064475082065,,3808775000000.0,,,26957179000000,109697747000000,12524276000000
4,BIC.CN,2020-05-27,19:59:41,22300,COP,726655,,23980,22500,Bancolombia SA,Financials,45500,17700,5.08953817153629,-34.2236068997489,-47.8213002107865,,7288563000000.0,,,37610384000000,209204194000000,26883919000000
5,BIC_p1.CN,2020-05-27,19:59:41,22620,COP,846463,,24000,22600,Bancolombia SA,Financials,47400,17760,3.66636113657195,-37.5914729505909,-49.1847370159727,,7288563000000.0,,,37610384000000,209204194000000,26883919000000
6,BVC.CN,2020-05-26,14:14:33,9220,COP,1000,,9220,7530,Bolsa de Valores de Colombia SA,Financials,12600,8000,0.326441784548422,-22.4429268054547,-20.5172413802093,280531479000.0,91330636000.0,109404876000.0,62080421000.0,15983200000,130885608000,494187988000
7,CNE.CN,2020-05-27,19:59:41,10780,COP,453185,,11000,10340,Canacol Energy Ltd,Energy,13000,7810,-1.28205128205128,8.04225741370292,-8.54663705864462,242079000.0,154709000.0,133270000.0,97813000.0,368683000,511316000,242746000
8,CEL.CN,2020-05-27,18:02:38,4100,COP,39556,,4100,4060,Celsia SA ESP,Utilities,4850,3450,-0.726392251815981,-0.495772112371085,-4.97271984716743,3725762000000.0,1480304000000.0,1755860000000.0,1699268000000.0,4025209000000,6830486000000,4547855000000
9,CCB.CN,2020-05-27,19:59:41,3575,COP,190310,,3615,3500,Cementos Argos SA,Basic Materials,8090,2415,1.85185185185185,-48.1555440917696,-50.6041340482411,9375076000000.0,1758951000000.0,2714312000000.0,3052593000000.0,7672080000000,11156652000000,8037698000000
10,CCB_p.CN,2020-05-27,18:46:43,2910,COP,9190,,2910,2890,Cementos Argos SA,Basic Materials,7000,2220,1.57068062827225,-49.7682584572093,-48.2150994201655,9375076000000.0,1758951000000.0,2714312000000.0,3052593000000.0,7672080000000,11156652000000,8037698000000
